Genus,Species,Synonyms,Extant,Plesiadapiform,Plesiadapiform Reference,First Appearance (mya),Last Appearance (mya),Period Reference,Body Size (g),Body Size Reference,m1 Length,m1 Width,M1 Length,M1 Width,m2 Length,m2 Width,M2 Length,M2 Width,m3 Length,m3 Width,M3 Length,M3 Width,p4 Length,p4 Width,P4 Length,P4 Width,Measurement References,New World
Muangthanhinius,siami,,no,,,37.2,33.9,Fossilworks,,,,,,,,,,,,,,,,,,,,
Myanmarpithecus,yarshensis,,no,,,40.4,33.9,Fossilworks,,,,,,,,,,,,,,,,,,,,
Nannodectes,gazini,,no,yes,Fleagle 1999,61.7,56.8,Fossilworks,416.681,estimate,2.09,2.35,3.47,2.41,2.36,2.46,3.64,2.48,2.16,3.6,3.02,2.37,,,,,Gingerich 1975 Gingerich 1976,
Nannodectes,gidleyi,,no,yes,Fleagle 1999,61.7,56.8,Fossilworks,881.119,estimate,2.72,2.91,4.2,2.9,3.08,3.17,4.59,3.13,3,4.7,4.1,2.9,,,,,Gingerich 1975 Gingerich 1976 Schiebout 1974 Winterfeld 1982,
Nannodectes,intermedius,,no,yes,Fleagle 1999,61.7,56.8,Fossilworks,461.284,estimate,2.2,2.4,3.7,2.4,2.6,2.5,3.7,2.4,2.4,3.7,3.2,2.4,,,,,Gazin 1969 Gingerich 1975 Gingerich et al. 1983 Krause and Gingerich 1983,
Nannodectes,simpsoni,,no,yes,Fleagle 1999,61.7,56.8,Fossilworks,719.142,estimate,2.58,2.69,4.13,2.81,2.89,2.97,4.64,2.96,2.55,4,3.5,2.87,,,,,Burger 2007 Gingerich 1975 Gingerich 1976,
Nannopithex,abderhalderi,,no,,,,,,170,Fleagle 1999,,,,,,,,,,,,,,,,,,
Nannopithex,barnesi,,no,,,,,,200,Fleagle 1999,,,,,,,,,,,,,,,,,,
Nannopithex,filholi,,no,,,,,,155,Fleagle 1999,,,,,,,,,,,,,,,,,,
Nannopithex,humilidens,,no,,,,,,140,Fleagle 1999,,,,,,,,,,,,,,,,,,
Nannopithex,pollicaris,,no,,,,,,125,Fleagle 1999,,,,,,,,,,,,,,,,,,
Nannopithex,quaylei,,no,,,40.4,37.2,Fossilworks,,,,,,,,,,,,,,,,,,,,
Nannopithex,raabi,,no,,,,,,170,Fleagle 1999,,,,,,,,,,,,,,,,,,
Nannopithex,zuccolae,,no,,,55.8,48.6,Fossilworks,180,Fleagle 1999,,,,,,,,,,,,,,,,,,
Nanomomys,thermophilus,,no,,,55.8,48.6,Fossilworks,,,,,,,,,,,,,,,,,,,,
Navajovius,kohlhaasae,,no,yes,Fleagle 1999,61.7,56.8,Fossilworks,62.282,estimate,1,1.4,2,1.5,1.2,1.6,1.9,1.5,,,,,0.9,1.5,1.7,1.6,Gunnell 1989 Schiebout 1974,
Necrolemur,antiquus,,no,,,38,33.9,Fleagle 1999,320,Fleagle 1999,,,,,,,,,,,,,,,,,,
Necrolemur,zitteli,,no,,,38,33.9,Fleagle 1999,290,Fleagle 1999,,,,,,,,,,,,,,,,,,
Neosaimiri,fieldsi,,no,,,13.8,11.8,Fossilworks,1008.596,estimate,,3,,,,3,,,,,,,,,,,Stirton 1951,yes
Nievesia,sossisensis,,no,,,37.2,33.9,Fossilworks,,,,,,,,,,,,,,,,,,,,
Niptomomys,doreenae,,no,yes,Fleagle 1999,55.8,50.3,Fossilworks,39.967,estimate,1.14,1.36,,,,,,,,,,,,,,,Alroy 2000 Gunnell and Gingerich 1981 Rose et al. 1993,
Niptomomys,favorum,,no,,,55.8,50.3,Fossilworks,,,,,,,,,,,,,,,,,,,,
Niptomomys,thelmae,,no,yes,Fleagle 1999,55.8,50.3,Fossilworks,56.326,estimate,1.27,1.5,,,,,,,,,,,,,,,Gunnell and Gingerich 1981,
Noropithecus,bulukensis,,no,,,23.02,15.97,Fossilworks,,,,,,,,,,,,,,,,,,,,
Notharctus,pugnax,,no,,,,,,5535.161,estimate,4.97,6.02,,,,,,,,,,,,,,,Gingerich 1979,
Notharctus,robinsoni,,no,,,50.3,46.2,Fossilworks,5729.634,estimate,4.6,5.8,7.57,6.2,5,6.1,7.76,6.04,4.7,7.9,,,3.9,5.2,6.65,4.6,Gingerich 1979 Gunnell 1998,
Notharctus,robustior,,no,,,46.2,40.4,Fossilworks,6900,Fleagle 1999,,,,,,,,,,,,,,,,,,
Notharctus,tenebrosus,,no,,,46.2,40.4,Fossilworks,5498.689,estimate,4.12,5.39,7.8,6.4,,,8.2,6.4,4.4,6.9,6.9,5.2,,,,,Gingerich 1979 Gunnell 1995,
Notharctus,venticolus,cantius venticolus,no,,,50.3,46.2,Fossilworks,4080.592,estimate,4.32,5.3,6.54,5.24,4.86,5.63,7.4,5.35,4.3,7.04,6.28,4.29,3.3,4.34,6.1,4.65,Gunnell 2002,
Notnamaia,bogenfelsi,,no,,,48.6,40.4,Fossilworks,,,,,,,,,,,,,,,,,,,,
Nuciruptor,rubricae,,no,,,13.8,11.8,Fossilworks,2000,Fleagle 1999,,,,,,,,,,,,,,,,,,yes
Nyanzapithecus,pickfordi,,no,,,23.03,11.608,Fleagle 1999,10000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Nyanzapithecus,vancouveringorum,,no,,,23.03,11.608,Fleagle 1999,9000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Nycticeboides,simpsoni,,no,,,11.608,5.332,Fleagle 1999,500,Fleagle 1999,,,,,,,,,,,,,,,,,,
Nycticebus,linglom,,no,,,15.97,11.608,Fossilworks,,,,,,,,,,,,,,,,,,,,
Oligopithecus,rogeri,,no,,,33.9,28.4,Fossilworks,1500,Fleagle 1999,,,,,,,,,,,,,,,,,,
Oligopithecus,savagei,,no,,,33.9,28.4,Fossilworks,1000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Omanodon,minor,,no,,,33.9,28.4,Fossilworks,100,Fleagle 1999,,,,,,,,,,,,,,,,,,
Omomys,carteri,euryacodon lepidus,no,,,46.2,40.4,Fossilworks,350.152,estimate,2,2.5,3.2,2.4,2.1,2.4,3.5,2.3,1.77,2.81,3.18,2.06,,,2.9,2.1,Cuozzo 2008 Eaton 1982 Gazin 1958 McGrew and Sullivan 1971 Muldoon and Gunnell 2002 West 1973 West 1982 Williams and Kirk 2008 Zonneveld et al. 2000,
Omomys,lloydi,,no,,,46.2,40.4,Fossilworks,173.282,estimate,1.7,2.2,,,,,,,,,,,,,,,Gazin 1958,
Omomys,pucillus,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Omopithecus,brumpti,,no,,,2.5,1.5,Fleagle 1999,50000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Oreopithecus,bambolii,,no,,,11.1,7.246,Fossilworks,30000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Otavipithecus,namibiensis,,no,,,11.608,5.332,Fleagle 1999,17500,Fleagle 1999,,,,,,,,,,,,,,,,,,
Othnielmarshia,lacunifera,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Ourayia,hopsoni,,no,,,46.2,40.4,Fossilworks,1192.155,estimate,3.25,3.73,,,3.41,3.62,,,,,,,,,,,Robinson 1968 Williams and Kirk 2008,
Ourayia,uintensis,,no,,,46.2,40.4,Fossilworks,1704.426,estimate,3.3,4.2,4.8,3.8,3.79,4.81,5.2,4.1,,,4.8,3.8,,,,,Gazin 1958 Simons 1961 West 1982 Williams and Kirk 2008,
Pachylemur,insignis,,no,,,2.588,0.0117,Fleagle 1999,10000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Pachylemur,julliyi,,no,,,2.588,0.0117,Fleagle 1999,12800,Fleagle 1999,,,,,,,,,,,,,,,,,,
Pachypithecus,macrognathus,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Palaechthon,alticuspis,,no,yes,Fleagle 1999,61.7,56.8,Fossilworks,132.745,estimate,1.57,2.03,,,,,,,,,,,,,,,Gunnell 1989,
Palaechthon,woodi,,no,yes,Fleagle 1999,61.7,56.8,Fossilworks,72.135,estimate,1.3,1.7,,,,,,,,,,,,,,,Gazin 1971 Wood et al. 1979,
Palaeopropithecus,ingens,,no,,,,,,45000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Palaeopropithecus,maximus,,no,,,,,,54000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Palenochtha,minor,,no,yes,Fleagle 1999,61.7,56.8,Fossilworks,28.817,estimate,0.98,1.3,,,,,,,,,,,,,,,Hartman 1986 Rigby 1980 Simpson 1937,
Palenochtha,weissae,,no,,,63.3,61.7,Fossilworks,29.803,estimate,1,1.3,,,,,,,,,,,,,,,Rigby 1980,
Pandemonium,dis,,no,yes,Fleagle 1999,66.043,63.3,Fossilworks,277.04,estimate,1.925,2.575,,,,,,,,,,,,,,,Van Valen 1994,
Panobius,afridi,,no,,,48.6,40.4,Fossilworks,130,Fleagle 1999,,,,,,,,,,,,,,,,,,
Panobius,amplior,,no,,,48.6,40.4,Fossilworks,,,,,,,,,,,,,,,,,,,,
Panobius,russelli,,no,,,55.8,48.6,Fossilworks,,,,,,,,,,,,,,,,,,,,
Papio,izodi,,no,,,2.5,1.5,Fleagle 1999,,,,,,,,,,,,,,,,,,,,
Papio,quadratirostris,,no,,,2.5,1.5,Fleagle 1999,,,,,,,,,,,,,,,,,,,,
Papio,robinsoni,,no,,,2.5,1.5,Fleagle 1999,,,,,,,,,,,,,,,,,,,,
Papio,thoth,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Paracolobus,chemeroni,,no,,,2.5,1.5,Fleagle 1999,35000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Paracolobus,mutiwa,,no,,,2.5,1.5,Fleagle 1999,,,,,,,,,,,,,,,,,,,,
Paradolichopithecus,arvernensis,,no,,,,,,23000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Paradolichopithecus,sushkini,,no,,,,,,35000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Paraloris,bavaricus,,no,,,37.2,33.9,Fossilworks,,,,,,,,,,,,,,,,,,,,
Paralouatta,marianae,,no,,,23.03,15.97,Fossilworks,,,,,,,,,,,,,,,,,,,,
Paralouatta,varonai,,no,,,2.588,0.0117,Fleagle 1999,,,,,,,,,,,,,,,,,,,,
Parapapio,ado,,no,,,,,,17000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Parapapio,antiquus,,no,,,2.5,1.5,Williams et al. 2007,,,,,,,,,,,,,,,,,,,,
Parapapio,broomi,,no,,,11.608,0.781,Fleagle 1999,23000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Parapapio,jonesi,,no,,,11.608,0.781,Fleagle 1999,19000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Parapapio,whitei,,no,,,2.5,1.5,Williams et al. 2007,30000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Parapithecus,fraasi,,no,,,33.9,28.4,Fossilworks,1700,Fleagle 1999,,,,,,,,,,,,,,,,,,
Parapithecus,grangeri,,no,,,33.9,28.4,Fossilworks,3000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Paromomys,alticuspis,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Paromomys,depressidens,,no,yes,Fleagle 1999,61.7,56.8,Fossilworks,144.956,estimate,1.6,2.1,,,,,,,,,,,,,,,Gazin 1971 Simpson 1937 Winterfeld 1982,
Paromomys,maturus,,no,yes,Fleagle 1999,61.7,56.8,Fossilworks,446.337,estimate,2.2,3,,,,,,,,,,,,,,,Gazin 1968 Hunter et al. 1997 Simpson 1937,
Parvocristes,oligocollis,,no,,,48.6,40.4,Fossilworks,,,,,,,,,,,,,,,,,,,,
Patasola,magdalenae,,no,,,13.8,11.8,Fossilworks,1000,Fleagle 1999,,,,,,,,,,,,,,,,,,yes
Paukkaungia,parva,,no,,,40.4,37.2,Fossilworks,,,,,,,,,,,,,,,,,,,,
Pelycodus,danielsae,,no,,,55.8,50.3,Fossilworks,6300,Fleagle 1999,,,,,,,,,,,,,,,,,,
Pelycodus,eppsi,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Pelycodus,jarrovii,,no,,,55.8,50.3,Fossilworks,4567.609,estimate,4.8,5.6,6.5,5.5,5.3,5.75,7.2,5.5,4.5,6.8,6.5,5,,,,,Gingerich and Haskin 1981 Gunnell 1995 Kihm 1992,
Pelycodus,relictus,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Pelycodus,savagei,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Periconodon,helleri,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Periconodon,helveticus,,no,,,40.4,37.2,Fossilworks,250,Fleagle 1999,,,,,,,,,,,,,,,,,,
Periconodon,huerzeleri,,no,,,48.6,40.4,Fossilworks,570,Fleagle 1999,,,,,,,,,,,,,,,,,,
Periconodon,jaegeri,,no,,,,,,920,Fleagle 1999,,,,,,,,,,,,,,,,,,
Periconodon,lemoinei,,no,,,55.8,48.6,Fossilworks,,,,,,,,,,,,,,,,,,,,
Periconodon,roselli,,no,,,,,,650,Fleagle 1999,,,,,,,,,,,,,,,,,,
Phenacolemur,fortior,,no,,,55.8,50.3,Fossilworks,,,,,,,,,,,,,,,,,,,,
Phenacolemur,leonardi,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Phenacolemur,mcgrewi,,no,,,46.2,37.2,Fossilworks,166.394,estimate,1.825,2,,,,,,,,,,,,,,,Krishtalka 1978,
Phenacolemur,praecox,,no,yes,Fleagle 1999,55.8,50.3,Fossilworks,362.391,estimate,2.24,2.6,,,,,,,,,,,,,,,Alroy 2000,
Phenacolemur,shifrae,,no,,,46.2,40.4,Fossilworks,,,,,,,,,,,,,,,,,,,,
Phenacolemur,simonsi,,no,yes,Fleagle 1999,55.8,50.3,Fossilworks,101.896,estimate,1.3,1.75,2.2,1.75,1.4,1.75,2,1.65,,,,,1.15,1.77,2,1.75,Bown and Rose 1976,
Phenacopithecus,krishtalkai,,no,,,48.6,37.2,Fossilworks,,,,,,,,,,,,,,,,,,,,
Phenacopithecus,xueshii,,no,,,48.6,37.2,Fossilworks,,,,,,,,,,,,,,,,,,,,
Phileosimias,brahuiorum,,no,,,33.9,28.4,Fossilworks,,,,,,,,,,,,,,,,,,,,
Phileosimias,kamali,,no,,,33.9,28.4,Fossilworks,,,,,,,,,,,,,,,,,,,,
Phoxomylus,puncticuspis,,no,,,61.7,56.8,Fossilworks,1276.034,estimate,,,4.8,3.7,,,,,,,,,,,,,Fox 2011,
Picrodus,calgariensis,,no,,,63.3,61.7,Fossilworks,61.434,estimate,1.47,2.4,2.6,2.55,1.1,1.7,1.9,1.25,,,1.5,1.1,0.6,0.8,1.05,1.2,Hartman 1986 Scott 2003 Scott and Fox 2005,
Picrodus,canpacius,,no,,,61.7,56.8,Fossilworks,50.989,estimate,1.1,2.6,2.6,2.4,,,1.55,1.2,1,1.3,1.3,1.1,0.55,0.85,0.98,1.1,Gingerich et al. 1983 McGrew and Patterson 1962 Scott and Fox 2005,
Picrodus,lepidus,,no,,,61.7,56.8,Fossilworks,48.114,estimate,0.95,2.2,2.47,2.27,0.9,1.57,1.5,1.35,0.9,1.4,,,0.6,0.9,0.9,1.35,Scott and Fox 2005,
Picrodus,silberlingi,,no,yes,Fleagle 1999,61.7,56.8,Fossilworks,136.428,estimate,1.2,2.7,,,,,,,,,,,,,,,Simpson 1937,
Picromomys,petersonorum,,no,yes,Fleagle 1999,55.8,50.3,Fossilworks,13.972,estimate,0.75,1.1,,,,,,,,,,,,,,,Rose and Bown 1996,
Pierolapithecus,catalaunicus,,no,,,12.75,11.1,Fossilworks,,,,,,,,,,,,,,,,,,,,
Platodontopithecus,jianghuaiensis,,no,,,20.43,15.97,Fossilworks,,,,,,,,,,,,,,,,,,,,
Platychoerops,antiquus,,no,,,58.7,55.8,Fossilworks,,,,,,,,,,,,,,,,,,,,
Platychoerops,daubrei,,no,yes,Fleagle 1999,55.8,48.6,Fossilworks,1887,Fleagle 1999,,,,,,,,,,,,,,,,,,
Platychoerops,georgei,,no,,,55.8,48.6,Fossilworks,,,,,,,,,,,,,,,,,,,,
Platychoerops,richardsoni,,no,yes,Fleagle 1999,55.8,48.6,Fossilworks,,,,,,,,,,,,,,,,,,,,
Platychoerops,russelli,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Platydontopithecus,janghuaiensis,,no,,,23.03,15.97,Fleagle 1999,15000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Plesiadapis,anceps,,no,yes,Fleagle 1999,61.7,56.8,Fossilworks,630.404,estimate,2.8,2.9,,,,,,,,,,,,,,,Gingerich 1975 Simpson 1936,
Plesiadapis,chevillionii,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Plesiadapis,churchilli,,no,yes,Fleagle 1999,58.7,56.8,Fossilworks,1363.417,estimate,3.05,3.42,4.8,3.39,3.47,3.64,5.4,3.6,3.2,5.2,5,3.47,,,,,Gingerich 1975 Gingerich 1976 Krause 1978 Krishtalka et al. 1975 Winterfeld 1982,
Plesiadapis,cookei,,no,yes,Fleagle 1999,56.8,55.8,Fossilworks,5518.113,estimate,4.9,5.2,7.13,5.54,5.41,5.63,7.98,5.66,5.25,9.05,7.78,5.15,,,,,Alroy 2000 Rose 1981,
Plesiadapis,dubius,,no,yes,Fleagle 1999,55.8,50.3,Fossilworks,903.991,estimate,2.6,2.9,4.24,3.07,2.86,3.09,4.66,3.23,2.9,4.81,4.43,3.07,,,,,Alroy 2000 Gazin 1942 Gingerich 1975 Gingerich 1976,
Plesiadapis,fodinatus,,no,yes,Fleagle 1999,56.8,55.8,Fossilworks,1194.473,estimate,2.92,3.2,4.58,3.24,3.25,3.43,5.12,3.46,3.23,5.17,4.81,3.34,,,,,Gingerich 1975 Gingerich 1976 Winterfeld 1982,
Plesiadapis,gingerichi,,no,yes,Fleagle 1999,56.8,55.8,Fossilworks,3588.779,estimate,4.18,4.65,6.05,4.65,4.475,5,7,5.2,4.6,7.4,6.8,4.85,,,,,Alroy 2000,
Plesiadapis,insignis,,no,,,58.7,55.8,Fossilworks,,,,,,,,,,,,,,,,,,,,
Plesiadapis,orsmaelensis,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Plesiadapis,praecursor,,no,yes,Fleagle 1999,61.7,56.8,Fossilworks,435.14,estimate,2.5,2.6,,,,,,,,,,,,,,,Gingerich 1975 Gingerich 1976 Hartman 1986,
Plesiadapis,recticuspidens,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Plesiadapis,remensis,,no,yes,Fleagle 1999,55.8,48.6,Fossilworks,759,Fleagle 1999,,,,,,,,,,,,,,,,,,
Plesiadapis,rex,,no,yes,Fleagle 1999,61.7,56.8,Fossilworks,1117.371,estimate,3,3.1,4.66,3.11,3.35,3.33,5.19,3.29,3.13,4.95,4.33,3.25,,,,,Gingerich 1975 Gingerich 1976 Simpson 1937,
Plesiadapis,russelli,,no,yes,Fleagle 1999,55.8,48.6,Fossilworks,,,,,,,,,,,,,,,,,,,,
Plesiadapis,simonsi,,no,yes,Fleagle 1999,61.7,56.8,Fossilworks,1870.66,estimate,3.9,4,,,,,,,,,,,,,,,Gingerich 1975,
Plesiadapis,tricuspidens,,no,yes,Fleagle 1999,58.7,55.8,Fossilworks,1278,Fleagle 1999,,,,,,,,,,,,,,,,,,
Plesiadapis,walbeckensis,,no,yes,Fleagle 1999,61.7,58.7,Fossilworks,389,Fleagle 1999,,,,,,,,,,,,,,,,,,
Plesiolestes,nacimienti,,no,,,63.3,61.7,Fossilworks,,,,,,,,,,,,,,,,,,,,
Plesiolestes,problematicus,,no,yes,Fleagle 1999,61.7,56.8,Fossilworks,294.461,estimate,1.7,2.4,3.32,2.45,1.85,2.49,3.69,2.37,,,,,1.38,2.25,2.5,2.3,Gingerich et al. 1983 Gunnell 1989 Rigby 1980,
Plesiopithecus,teras,,no,,,33.9,28.4,Fossilworks,,,,,,,,,,,,,,,,,,,,
Plesiopliopithecus,auscitanensis,,no,,,15.97,11.608,Fleagle 1999,5000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Plesiopliopithecus,lockeri,,no,,,15.97,11.608,Fleagle 1999,5000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Plesiopliopithecus,rhodanica,,no,,,15.97,11.608,Fleagle 1999,,,,,,,,,,,,,,,,,,,,
Pliopithecus,antiquus,,no,,,13.65,11.608,Fossilworks,9700,Fleagle 1999,,,,,,,,,,,,,,,,,,
Pliopithecus,platyodon,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Pliopithecus,posthumus,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Pliopithecus,priensis,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Pliopithecus,vindobonensis,,no,,,13.65,12.75,Fossilworks,7000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Pliopithecus,zhanxiangi,,no,,,13.65,11.608,Fossilworks,15000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Pondaungia,cotteri,amphipithecus mogaungensis,no,,,47.8/40.4,38/37.2,Shigehara et. al. 2002/Fossilworks,7000/8600,Fleagle 1999,,,,,,,,,,,,,,,,,,
Pondaungia,minuta,,no,,,40.4,33.9,Fossilworks,,,,,,,,,,,,,,,,,,,,
Pongo,hooijeri,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Postpithecus,curvicrista,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Postpithecus,reflexus,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Praeanthropus,tugenensis,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Premnoides,douglassi,,no,yes,Fleagle 1999,63.3,61.7,Fossilworks,104.926,estimate,1.35,2.05,,,,,,,,,,,,,,,Gunnell 1989,
Presbytis,aygula,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Proconsul,(xenopithecus),,no,,,,,,,,,,,,,,,,,,,,,,,,,
Proconsul,africanus,,no,,,20.43,11.608,Fossilworks,27400,Fleagle 1999,,,,,,,,,,,,,,,,,,
Proconsul,gitongai,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Proconsul,heseloni,,no,,,20.43,15.97,Fossilworks,17000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Proconsul,major,,no,,,15.97,13.65,Fossilworks,50000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Proconsul,meswae,,no,,,28.4,23.03,Fossilworks,,,,,,,,,,,,,,,,,,,,
Proconsul,nyanzae,,no,,,13.65,11.608,Fossilworks,28000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Procynocephalus,subhimalayensis,,no,,,5.333,2.58,Fleagle 1999,23000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Procynocephalus,wimani,,no,,,5.333,2.58,Fleagle 1999,22000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Progalago,dorae,,no,,,23.03,5.332,Fleagle 1999,1200,Fleagle 1999,,,,,,,,,,,,,,,,,,
Progalago,songhorensis,,no,,,23.03,5.332,Fleagle 1999,800,Fleagle 1999,,,,,,,,,,,,,,,,,,
Prohylobates,simonsi,,no,,,23.03,5.332,Fleagle 1999,25000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Prohylobates,tandyi,,no,,,16.9,15.97,Fossilworks,7000,Fleagle 1999,,,,,,,,,,,,,,,,,,
