"","V1"
"Aegyptopithecus zeuxis",6700
"Allenopithecus nigroviridis",4655
"Allocebus trichotis",88
"Alouatta belzebul",6395
"Alouatta caraya",537.5
"Alouatta palliata",6250
"Alouatta pigra",8915
"Alouatta seniculus",6250
"Alouatta arctoidea",6250
"Alouatta discolor",6400
"Alouatta sara",7500
"Aotus azarae",1205
"Aotus griseimembra",900
"Aotus lemurinus",896
"Aotus nancymaae",787
"Aotus nigriceps",957.5
"Aotus trivirgatus",774.5
"Aotus vociferans",703
"Archaeolemur edwardsi",22000
"Archaeolemur majori",17000
"Arctocebus aureus",210
"Arctocebus calabarensis",309
"Ateles belzebuth",7935
"Ateles fusciceps",9025
"Ateles geoffroyi",7535
"Ateles hybridus",9000
"Ateles paniscus",8775
"Avahi laniger",1175
"Avahi occidentalis",795.5
"Avahi betsileo",1100
"Avahi cleesei",905
"Avahi meridionalis",1050
"Avahi mooreorum",920
"Avahi peyrierasi",1050
"Avahi unicolor",875
"Brachyteles arachnoides",8840
"Brachyteles hypoxanthus",8250
"Cacajao calvus",3165
"Cacajao melanocephalus",2935
"Callicebus personatus",1350
"Callicebus coimbrai",1165
"Callicebus discolor",965
"Callicebus dubius",800
"Callimico goeldii",483.5
"Callithrix aurita",429
"Callithrix flaviceps",406
"Callithrix geoffroyi",359
"Callithrix humeralifer",473.5
"Callithrix jacchus",320.5
"Callithrix kuhlii",375
"Callithrix penicillata",325.5
"Callithrix pygmaea",116
"Carlito syrichta",131.5
"Catopithecus browni",900
"Cebus albifrons",2678.33
"Cebus capucinus",3110
"Cebus imitator",3250
"Cebus kaapori",2650
"Cebus olivaceus",2905
"Cephalopachus bancanus",119.5
"Cercocebus agilis",7580
"Cercocebus atys",8225
"Cercocebus galeritus",7742.5
"Cercocebus torquatus",8615
"Cercopithecus albogularis",6200
"Cercopithecus ascanius",3310
"Cercopithecus campbelli",3750
"Cercopithecus cephus",3585
"Cercopithecus diana",4550
"Cercopithecus dryas",3000
"Cercopithecus erythrogaster",3250
"Cercopithecus erythrotis",3250
"Cercopithecus hamlyni",4425
"Cercopithecus mitis",6090
"Cercopithecus mona",5100
"Cercopithecus neglectus",5740
"Cercopithecus nictitans",5465
"Cercopithecus petaurista",3650
"Cercopithecus pogonias",3915
"Cercopithecus sclateri",3250
"Cercopithecus wolfi",3390
"Cercopithecus kandti",6650
"Cheirogaleus major",400
"Cheirogaleus medius",282.5
"Cheirogaleus sibreei",272
"Chiropotes albinasus",2820
"Chiropotes satanas",2870
"Chiropotes chiropotes",3000
"Chlorocebus aethiops",3620
"Chlorocebus cynosuros",3950
"Chlorocebus djamdjamensis",3950
"Chlorocebus tantalus",4700
"Colobus angolensis",8625
"Colobus guereza",11350
"Colobus polykomos",9100
"Colobus satanas",8910
"Colobus vellerosus",8450
"Daubentonia madagascariensis",2555
"Dionysopithecus shuangouensis",3300
"Djebelemur martinezi",100
"Dolichopithecus ruscinensis",18000
"Erythrocebus patas",8185
"Eulemur coronatus",1180
"Eulemur flavifrons",1850
"Eulemur fulvus",1905
"Eulemur macaco",1820
"Eulemur mongoz",1485
"Eulemur rubriventer",1960
"Eulemur rufifrons",2300
"Euoticus elegantulus",300
"Euoticus pallidus",230
"Galago gallarum",200
"Galago moholi",180
"Galago senegalensis",213
"Galago matschiei",210
"Galagoides cocos",167.5
"Galagoides demidoff",61.5
"Galagoides orinus",86
"Galagoides rondoensis",52.5
"Galagoides thomasi",116.5
"Galagoides zanzibaricus",143
"Gorilla beringei",130000
"Gorilla gorilla",120950
"Hadropithecus stenognathus",28000
"Hapalemur aureus",1455
"Hapalemur griseus",979.5
"Hapalemur occidentalis",1023
"Homo erectus",57650
"Homo habilis",41550
"Homo heidelbergensis",10000
"Homo rudolfensis",45000
"Homo sapiens",60000
"Hoolock hoolock",6500
"Hoolock leuconedys",7500
"Hylobates agilis",5850
"Hylobates albibarbis",5850
"Hylobates klossii",5795
"Hylobates lar",5620
"Hylobates moloch",6415
"Hylobates muelleri",5530
"Hylobates pileatus",5470
"Indri indri",6335
"Kenyapithecus wickeri",27000
"Laccopithecus robustus",12000
"Lagothrix flavicauda",10000
"Lagothrix lagotricha",7383.33
"Lemur catta",2210
"Leontopithecus caissara",575
"Leontopithecus chrysomelas",577.5
"Leontopithecus chrysopygus",577.5
"Leontopithecus rosalia",609
"Lepilemur aeeclis",850
"Lepilemur ahmansonorum",550
"Lepilemur ankaranensis",730
"Lepilemur betsileo",1100
"Lepilemur dorsalis",550
"Lepilemur edwardsi",921
"Lepilemur fleuretae",800
"Lepilemur grewcockorum",900
"Lepilemur hollandorum",1000
"Lepilemur jamesorum",964
"Lepilemur leucopus",605.5
"Lepilemur microdon",970
"Lepilemur mustelinus",770
"Lepilemur ruficaudatus",775
"Lepilemur septentrionalis",750
"Lepilemur milanoii",711
"Lepilemur otto",862.5
"Lepilemur petteri",630
"Lepilemur randrianasoloi",775
"Lepilemur sahamalazensis",720
"Lepilemur scottorum",880
"Lepilemur seali",950
"Lepilemur wrightae",1100
"Lophocebus albigena",6395
"Lophocebus aterrimus",6800
"Loris tardigradus",263.75
"Macaca arctoides",10300
"Macaca assamensis",9100
"Macaca brunnescens",16600
"Macaca cyclopis",12000
"Macaca fascicularis",4475
"Macaca fuscata",9515
"Macaca hecki",9000
"Macaca maura",7885
"Macaca mulatta",6540
"Macaca munzala",14000
"Macaca nemestrina",9500
"Macaca nigra",7680
"Macaca ochreata",3950
"Macaca prisca",12000
"Macaca radiata",5260
"Macaca siberu",6750
"Macaca silenus",7500
"Macaca sinica",4440
"Macaca sylvanus",13500
"Macaca thibetana",10850
"Macaca tonkeana",11950
"Macaca leonina",6750
"Mandrillus leucophaeus",16250
"Mandrillus sphinx",22250
"Megaladapis edwardsi",75000
"Mesopithecus pentelicus",8000
"Mico argentatus",377.5
"Mico intermedius",295
"Mico leucippe",330
"Mico mauesi",357.5
"Mico melanurus",330
"Mico rondoni",320
"Mico saterei",430
"Microcebus berthae",31
"Microcebus gerpi",68
"Microcebus griseorufus",45
"Microcebus jollyae",49
"Microcebus murinus",61
"Microcebus rufus",47.5
"Microcebus tavaratra",54
"Microcebus mittermeieri",46
"Microcebus sambiranensis",45
"Micropithecus clarki",3500
"Miopithecus talapoin",1250
"Miopithecus ogouensis",1250
"Mirza coquereli",315
"Mirza zaza",290
"Morotopithecus bishopi",40000
"Nasalis larvatus",15110
"Nomascus concolor",8450
"Nomascus gabriellae",5200
"Nomascus hainanus",7900
"Nomascus leucogenys",6500
"Nomascus siki",7250
"Notharctus tenebrosus",5498.689
"Nycticebus bengalensis",1375
"Nycticebus coucang",801.25
"Nycticebus pygmaeus",307
"Oligopithecus rogeri",1500
"Oligopithecus savagei",1000
"Otolemur crassicaudatus",1150
"Otolemur garnettii",764
"Palaeopropithecus ingens",45000
"Palaeopropithecus maximus",54000
"Pan paniscus",39100
"Pan troglodytes",52750
"Papio anubis",19200
"Papio cynocephalus",15025
"Papio hamadryas",13400
"Papio papio",12100
"Papio ursinus",22300
"Perodicticus potto",1066.5
"Phaner furcifer",460
"Piliocolobus badius",7092.5
"Piliocolobus kirkii",8000
"Piliocolobus oustaleti",10350
"Piliocolobus pennantii",7400
"Piliocolobus rufomitratus",9000
"Piliocolobus tephrosceles",9700
"Pithecia aequatorialis",2250
"Pithecia albicans",3000
"Pithecia irrorata",2160
"Pithecia monachus",2360
"Pithecia pithecia",1760
"Pongo abelii",57150
"Pongo pygmaeus",56750
"Presbytis comata",6695
"Presbytis frontata",5615
"Presbytis hosei",6077.5
"Presbytis melalophos",6360
"Presbytis rubicunda",6230
"Presbytis sabana",6250
"Presbytis siamensis",6250
"Presbytis thomasi",6680
"Presbytis chrysomelas",7050
"Presbytis femoralis",7050
"Procolobus verus",4450
"Proconsul africanus",27400
"Proconsul heseloni",17000
"Proconsul nyanzae",28000
"Prohylobates tandyi",7000
"Propithecus diadema",5387.5
"Propithecus tattersalli",3490
"Propithecus verreauxi",3250
"Propliopithecus ankeli",5700
"Propliopithecus haeckeli",4000
"Pygathrix nemaeus",9720
"Pygathrix nigripes",8500
"Rhinopithecus avunculus",11250
"Rhinopithecus bieti",12480
"Rhinopithecus brelichi",15800
"Rhinopithecus roxellana",14750
"Rhinopithecus strykeri",11250
"Rungwecebus kipunji",12500
"Saguinus bicolor",429
"Saguinus fuscicollis",368.86
"Saguinus imperator",474.5
"Saguinus inustus",694
"Saguinus labiatus",514.5
"Saguinus leucopus",492
"Saguinus martinsi",500
"Saguinus midas",545
"Saguinus mystax",524.5
"Saguinus niger",429.5
"Saguinus nigricollis",476
"Saguinus oedipus",411
"Saguinus tripartitus",400
"Saimiri boliviensis",850
"Saimiri oerstedii",788.5
"Saimiri sciureus",875.75
"Saimiri ustus",910
"Saimiri vanzolinii",800
"Sapajus apella",3050
"Sapajus cay",3250
"Sapajus flavius",2400
"Sapajus libidinosus",3050
"Sapajus nigritus",3700
"Sapajus xanthosternos",3400
"Semnopithecus entellus",11445
"Semnopithecus hector",17350
"Semnopithecus hypoleucos",13300
"Semnopithecus priam",12450
"Semnopithecus schistaceus",17350
"Simias concolor",7975
"Tarsius dentatus",110.5
"Tarsius fuscus",116.5
"Tarsius pumilus",100
"Tarsius sangirensis",146.5
"Tarsius tarsier",100.5
"Tarsius tumpara",104
"Theropithecus gelada",15350
"Trachypithecus auratus",7100
"Trachypithecus cristatus",6185
"Trachypithecus delacouri",7900
"Trachypithecus francoisi",7525
"Trachypithecus geei",10150
"Trachypithecus germaini",6750
"Trachypithecus johnii",11600
"Trachypithecus laotum",7000
"Trachypithecus mauritius",7100
"Trachypithecus obscurus",6800
"Trachypithecus phayrei",7085
"Trachypithecus pileatus",10930
"Trachypithecus poliocephalus",8100
"Trachypithecus vetulus",7035
"Varecia rubra",3300
"Varecia variegata",3575
